序号,姓名,描述,武力,智力,合,必杀技,军师技,武器,可用阵形,使用阵形,可用兵种,使用兵种,黄巾之乱剧本及君主,讨伐董卓剧本及君主,群雄割据剧本及君主,赤壁之战剧本及君主,三国鼎立剧本及君主,血统,节操
11,公孙康,公孙渊（？－238年），字文懿。辽东郡襄平县（今辽宁省辽阳市）人。三国时辽东地方割据军阀。辽东太守公孙度之孙、左将军公孙康之子。太和二年（228年），公孙渊夺其叔公孙恭位，被魏明帝拜为扬烈将军、辽东太守。后遣使南通吴国孙权。青龙元年（公元233年），孙权遣军携宝欲册封公孙渊。公孙渊斩杀东吴使者，俘获东吴将士一万余人，被魏明帝拜为大司马，受封乐浪公。景初元年（237年），在击败前来讨伐的毌丘俭等后叛魏，公孙渊自立为燕王，建年号绍汉，并置百官有司。景初二年（238年），明帝遣太尉司马懿率军四万进讨辽东，公孙渊抵御失利，与其子为魏军所斩。,68,54,122,落石1地茅刺9冲车19地茅乱刺28,减少疲劳(初)1增强攻击(初)22,直剑,圆 玄 ,圆,刀 弓 ,刀,,,襄平野,襄平登,,,3
12,公孙渊,东汉末地方割据首领公孙瓒从弟。与孙坚攻袁绍部下周昂，不胜，为流矢所中死。[1] ,82,61,143,刀剑乱1伏兵班阵6冲车14龙炮激射21驷冲车28龙炮灭杀34,快速集气(初)1增加技力(初)13逼近敌军2525,眉尖刀,鱼 ,鱼,刀 炼 ,炼,,,,,襄平野,,1
13,公孙越,东汉末地方割据首领公孙瓒从弟。与孙坚攻袁绍部下周昂，不胜，为流矢所中死。 [1] ,65,46,111,突石1太极门12冲车25,后选出阵1,铜殳,钩 ,钩,炼 ,炼,北平登公孙瓒,北平登公孙瓒,公孙瓒,,,,3
14,公孙瓒,公孙瓒（？—199年），字伯圭 [1]  （一作伯珪），辽西令支（今河北迁安）人，东汉末年武将、军阀，汉末群雄之一。,86,70,156,刀剑乱1旋灯火7连弩激射14龙炮激射20滚石遽压27火牛群舞33,减缓集气(初)1强化士兵(初)9扰乱敌军(中)16保护主将25减缓集气(中)16保护主将25减缓集气(中)33,眉尖刀,锥 玄 ,锥,枪 ,枪,北平登,北平登,,,,,3
15,卞喜,公孙瓒出身贵族。因母地位卑贱，只当了郡中小吏。因其相貌俊美，且声音洪亮、机智善辩，得到涿郡太守赏识。后逐步做到中郎将，以强硬的态度对抗北方游牧民族，作战勇猛，威震边疆。公孙瓒好战，与主张以怀柔政策对待胡人的上司刘虞不和，二人矛盾逐渐激化。初平四年（193年），公孙瓒击杀刘虞，并挟持朝廷使者，得到了总督北方四州的授权，成为北方最强大的诸侯之一。,73,42,115,连弩1鬼戟9冲车18乱飞矢28,扰乱敌将(初)1,眉尖刀,圆 雁 ,雁,贼 ,贼,许昌登,邺野,,,,,2
16,太史慈,公孙瓒与袁绍多次相争，初期占据优势，但在龙凑之战后锐气顿减，采取自保战略，渐失部下信任，被袁绍击败。最终被困高楼，引火自焚。,97,70,167,落日弓1八门金锁5神剑12烈火旋灯17伏兵连阵23神火旋张28剑轮舞33鬼哭神号40,减缓集气(初)1混乱敌军(初)8喝阻敌军(初)16偷袭敌军24恢复体力(中)16偷袭敌军24恢复体力(中)32,短锥枪,方 锥 ,锥,枪 ,枪,,北海野,庐江登,庐江登,,,4
17,孔岫,孔伷（zhòu）（？－190年），字公绪，兖州陈留（今河南省开封市）人。东汉末期大臣。董卓执政，受到吏部尚书周毖推荐，出任豫州刺史，参加讨伐董卓的联盟。初平元年（190年），遭到董卓的部将李傕等人攻杀，病死于家中。《英雄记》评论“清谈高论，嘘枯吹生”。,42,81,123,落月弓1虎咆8御飞刀16木轮强袭22火箭天袭30,离间计(初)1恢复技力(初)8鼓舞士气(中)14偷袭敌军21减缓集气(中)14偷袭敌军21减缓集气(中)27减少疲劳(高)35,直剑,雁 玄 ,玄,铁 ,铁,谯登,谯登,,,,,4
18,孔融,孔融（153年－208年9月26日），字文举。鲁国（今山东曲阜）人。[1] 东汉末年官员、名士、文学家，为孔子的二十世孙。孔融少有异才，勤奋好学，与平原人陶丘洪、陈留人边让齐名。汉献帝时期，他历任北军中侯、虎贲中郎将、北海国相等职，时称孔北海。孔融在北海六年，修城邑，立学校，举贤才，表儒术，颇有治绩。后兼领青州刺史。建安元年（196年），袁谭攻北海，孔融与其激战数月，最终败逃山东。不久，被朝廷征为将作大匠，迁少府，又任太中大夫。他生性喜结宾客，抨议时政，言辞激烈，终在建安十三年（208年）因触怒丞相曹操而被杀。孔融能诗善文，为“建安七子”之一。魏文帝曹丕称其文“扬（扬雄）、班（班固）俦也。”其散文锋利简洁；六言诗则反映了汉末动乱的现实。原有文集已散佚，明人张溥辑有《孔北海集》。（概述内图片来源[2] ）,45,89,134,火箭1伏焰6火箭烈13炎龙无双19黄龙天翔25火箭天袭32炎龙绝杀37,离间计(初)1恢复体力(初)6逼近敌军12保护主将18增加技力(中)12保护主将18增加技力(中)24喝阻敌军(中)31快速集气(高)37,直剑,方 钩 ,钩,铁 ,铁,北海登,北海登,许昌登,,,,4
19,文钦,文钦（？~258年），字仲若，沛国谯郡（今安徽省亳州市）人，三国时期曹魏将领，曹操部将文稷之子。魏明帝太和年间文钦任牙门将、五营校督，后拜庐江太守、冠军将军，嘉平元年（249年），曹爽及其同党在高平陵之变中被杀，文钦心中不安，执政的司马氏集团为了安抚文钦，升其为前将军、扬州刺史，任职期间结交镇东将军毌丘俭。击退吴国太傅诸葛恪进攻，取得一定战果。正元二年（255年），文钦与镇东将军毌丘俭在扬州起兵讨伐司马师，兵败后投奔吴国，被封为镇北大将军、幽州牧，封谯侯。甘露二年（257年），文钦随吴军援救起兵反抗司马氏的诸葛诞，此后因被司马昭大军围困，军情告急，文钦与诸葛诞本就有矛盾，对文钦日益不满的诸葛诞遂将文钦杀死。淮南平定之后，文钦遗体被其二子收敛安葬。,83,48,131,落石1太极门7冰柱刺14龙炮激射20伏兵连阵26神火旋张34,后选出阵1诈败24,铜殳,方 锥 鱼 ,方,刀 武 ,刀,,,,,谯野,,3
20,文聘,文聘，生卒年不详，字仲业，南阳宛（今河南南阳）人，三国时期曹魏名将。本来是荆州刘表的大将。刘表死后，其子刘琮降曹操。文聘初不随见曹操，直至曹操召聘相见，问其何以迟，文聘表示自己不能保全土境，愧于见人。曹操被这份忠臣臆下之情所感动，先呛然而誉之。此后，文聘守卫江夏，典北兵、镇荆江。多次引兵阻遏关羽之师，进封延寿亭侯、讨逆将军。后来，攻取关羽辎重，烧毁关羽战船，成为曹操倚为屏障的大将之一。后又多从征讨，累封后将军，新野侯。曹叡即位之初，文聘在江夏击退了孙权的进攻。史书称他“在江夏数十年，有威恩，名震敌国”。死后追谥曰壮。[1] ,82,49,131,连弩1八门金锁7突袭石13龙炮激射21伏兵连阵28龙炮灭杀34,后选出阵1增加体力(初)24,短锥枪,圆 锥 鱼 ,锥,刀,刀,,,江夏登,襄阳登,新野登,,3
21,文鸯,文俶（238~291年），字次骞，小名阿鸯，[1] 世称文鸯，[1] 沛国谯郡（今安徽省亳州市）人。魏末晋初时期名将，曹魏扬州刺史文钦之子。[6] 骁勇善战，依附大将军曹爽，效忠于王室。大将军司马师废黜皇帝曹芳后，参加毌丘俭淮南起兵。兵败之后投奔吴国。后跟随文钦率军支援诸葛诞发动淮南叛乱，[2] 得知父亲为诸葛诞所害，归顺大将军司马昭，受封关内侯。西晋建立后，任平虏护军。咸宁三年（277年），拜平西将军，都督凉秦雍州三州军事，大破西部鲜卑首领秃发树机能，[23] 名震天下，迁护东夷校尉，坐事免官。[3] 西晋永平元年，为东安王司马繇（诸葛诞外孙）所构陷，遭夷三族之祸，时年五十四岁。[21-22] （概述内图片来源：戴敦邦绘《文鸯单骑退雄兵》）,90,48,138,落日弓1伏兵班阵6冲车12地茅乱刺18三日月斩25飞矢烈震30神火怒张37,扰乱敌将(初)1恢复体力(初)24,短锥枪,方 玄 ,方,刀 飞 ,刀,,,,,襄阳野,,4
22,文丑,文丑（？~200年），东汉末年袁绍部将。文丑为一夫之勇。建安五年（200年），带领左将军刘备进驻延津，误中曹操军师荀攸的“饵敌”之计，其麾下“五六千骑”惨败于“不满六百”的曹军骑兵。文丑本人也死于乱军之中，葬于河南省禹州市。明代小说《三国演义》将此段历史改编为关羽斩文丑。,96,40,136,八面火1鬼戟5地茅刺12火牛阵17八卦奇阵24连弩狂涛30旋龙天舞34神鬼乱舞41,扰乱敌将(初)1,铜殳,锥 钩 ,锥,枪 炼 ,炼,南皮野,南皮登,,,,,4
23,木鹿大王,古典小说《三国演义》中的虚构人物，八纳洞主，孟获盟友。擅驱兽法，能行风雨，控制猛兽并指挥它们作战。在法术帮助下最初对蜀军取得一些胜利，但在诸葛亮的喷火木兽将他的动物吓跑后战败，最后死于乱军之中。,78,64,142,突石1突石剑8突剑四方16冰柱群峰23连弩狂涛30,离间计(初)1恢复技力(初)10逼近敌军19偷袭敌军2919偷袭敌军29,短锥枪,冲 ,冲,蛮 ,蛮,,,,,云南登,,2
24,毋丘俭,暂无,71,80,151,落月弓1木轮攻7御飞刀16木轮强袭23后伏兵阵31,后选出阵1混乱敌军(初)7逼近敌军14减少疲劳(中)21快速集气(中)14减少疲劳(中)21快速集气(中)27强化士兵(中)34,直剑,箭 ,箭,铁 ,铁,,,,,下邳野,,2
25,毛玠,毛玠（？—216年），字孝先，陈留平丘（今河南封丘）人。东汉末年大臣。年少时为县吏，以清廉公正著称。因战乱而打算到荆州避乱，但中途知道刘表政令不严明，因而改往鲁阳。后来投靠曹操，提出“奉天子以令不臣，脩耕植，畜军资”的战略规划，得到曹操的欣赏。毛玠与崔琰主持选举，所举用的都是清廉正直之士。而毛玠为人廉洁，激起天下廉洁之风，一改朝中奢华风气。曹操大为赞赏，曹丕也亲自去拜访他。曹操获封魏公后，毛玠改任尚书仆射，再典选举。又密谏曹操应该立嫡长子曹丕为魏国太子。崔琰被杀后，毛玠十分不快。后来有人诬告毛玠，曹操大怒，将毛玠收于狱中。及后在桓阶、和洽营救下，只被免职，不久逝世于家中。曹操在他死后赐他棺材和钱帛。（概述内图片来源：叶雄《三国演义人物谱》）,64,60,124,落石1伏兵班阵13龙炮24,鼓舞士气(初)1增加技力(初)14鼓舞士气(中)2525,铜殳,箭 ,箭,贼 ,贼,长安野,长安野,弘农登,北海登,,,3
26,牛金,牛金（生卒年不详），初为曹仁部曲将，周瑜军数万人来攻，前锋数千人始至，曹仁登城望，乃募得三百人，遣牛金迎战。但对方兵力较多，牛金遂被围困。曹仁亲自杀入阵中救出牛金。司马懿使牛金轻骑饵诱蜀军，刚交战诸葛亮就退兵，追至祁山。蜀将马岱入寇，司马懿遣将军牛金击退，斩千余级。公孙渊反，司马懿率牛金、胡遵等步骑四万发自洛阳，后平定辽东。牛金官至后将军。,78,46,124,八面火1太极门8突袭石15旋龙合璧23伏兵连阵29,鼓舞士气(初)1,眉尖刀,方 ,方,炼 ,炼,,,下邳登,宛登,谯登,,4
27,王子服,王子服，也称作王服，字子由，东汉末年越骑校尉、偏将军。建安五年，服与董承、长水校尉种辑、议郎吴硕受衣带诏共谋曹操。后事发，为曹操所杀。,65,66,131,刀剑乱1八门金锁9冲车18乱飞矢27,减缓集气(初)1增加技力(初)11强化武将(初)19太公阵2819太公阵28,短锥枪,方 ,方,刀 飞 ,刀,,洛阳野,,,,,5
28,王允,王允（137年－192年7月4日），字子师，太原祁县（今山西祁县）人。东汉末年时期大臣。出身太原王氏，世代官宦。举孝廉出身，司徒高第征为侍御史。出任豫州刺史，勤政爱民。斗争中常侍张让失败后，去官隐居。中平六年，大将军何进掌权之后，辟王允为从事中郎，迁河南尹。董卓拥立汉献帝即位后，王允代替杨彪，拜太仆、尚书令、司徒，密谋刺死董卓，联合吕布共同执政，日益骄傲自满。初平三年（192年），董卓余党李傕、郭汜、樊稠等攻破长安。王允兵败而被处死，时年五十六岁。,42,72,114,伏兵组阵1伏焰10火箭烈19后伏连兵28,后选出阵1恢复技力(初)9增加经验(初)16劝降24降敌士气(高)16劝降24降敌士气(高)32,直剑,玄 鱼 ,鱼,弓 ,弓,洛阳登,洛阳登,,,,,5
29,王平,王平（1907年10月12日-1998年2月8日），1907年10月12日生于湖北省阳新县三溪口镇大湖地村，无产阶级革命家、军事家。原名王惟允，曾用名王明，后改名王平。1930年5月，参加中国工农红军，同年九月加入中国共产党。1955年被授予上将军衔。是第二、三届国防委员会委员，第五届全国人民代表大会常务委员，中国共产党第十一届中央委员。[3] 1998年2月8日16时42分，原中共中央顾问委员会常务委员，中央军委原常务委员、副秘书长，中国人民解放军总后勤部原政治委员王平同志，因病医治无效，于在北京逝世，终年91岁[2] 。,77,72,149,飞矢1突石剑8八面火转15地茅乱刺21八卦奇阵28茅刺遍地34,降敌士气(初)1快速集气(初)8强化武将(初)17乱阵25恢复体力(中)17乱阵25恢复体力(中)33,眉尖刀,雁 ,雁,刀 ,刀,,,梓潼野,下弁野,上庸登,,4
30,王甫,王黼[fǔ]（1079年—1126年），原名王甫，字将明，开封祥符（今属河南开封）人，北宋末年大臣、宰相。王黼有口才，才智出众但无学识，善于巧言献媚。崇宁年间进士。[1] 初因何执中推荐而任校书郎，迁左司谏。因助蔡京复相，骤升至御史中丞。宣和元年（1119年），任特进、少宰（右宰相），他由通议大夫超升八阶，被任命为宰相，是大宋开国以来前所未有的。金兵进入汴京，他不等诏命，便带妻儿逃跑，宋钦宗下诏贬他为崇信军节度副使、籍没他家。吴敏、李纲请求杀王黼，此事交由开封尹聂山处理，聂山与王黼宿怨未解，就派人将其杀死。,48,63,111,落月弓1火雷13火箭烈25,减缓集气(初)1恢复技力(初)11扰乱敌军(中)19保护主将2919保护主将29,直剑,雁 ,雁,铁 ,铁,,江夏野,襄阳野,江夏登,武陵登,,5
31,王朗,王朗（？－228年），本名王严[1] ，字景兴。东海郡郯县（今山东省临沂市郯城县）人。汉末至三国曹魏时期重臣、经学家。王朗早年师从太尉杨赐，因通晓经籍而被拜为郎中。后因杨赐去世而弃官服丧，不应孝廉之命。徐州刺史陶谦举其为茂才，拜徐州治中从事。后升任会稽太守，任内获百姓爱戴。建安元年（196年），王朗率军抵御孙策，终被孙策擒获。王朗甘忍流放的困境，拒绝为孙策效力。后来受到曹操的征辟，辗转数年才抵达许都，被拜为谏议大夫、参司空军事。魏王国建立后，以军祭酒兼领魏郡太守，又任少府、奉常、大理等职。曹丕继王位时，迁御史大夫，封安陵亭侯。曹魏建立后，改任司空，进封乐平乡侯。曹叡继位后，代华歆为司徒，进封兰陵侯。太和二年（228年），王朗去世，谥号为成。其孙女王元姬嫁于晋文帝司马昭，生晋武帝司马炎、齐献王司马攸。王朗学识渊博，与其子王肃同为经学大家。著有《周易传》《春秋传》《孝经传》《周官传》等，并有文集三十四卷，今多已佚失。,60,86,146,伏兵组阵1虎咆7御飞刀14伏兵排阵20绝命坝27火箭天袭33,后选出阵1恢复技力(初)7强化武将(初)13偷袭敌军19降敌士气(高)13偷袭敌军19降敌士气(高)25喝阻敌军(中)32恢复体力(高)37,直剑,圆 钩 ,圆,铁 ,铁,徐州登,会稽登,会稽野,濮阳登,洛阳登,,2
32,王真,暂无,68,34,102,落日弓1伏兵班阵11突袭石24,减缓集气(初)1,短锥枪,鱼 ,鱼,枪 ,枪,,,,,长安野,,2
33,王基,王基（190年－261年），字伯舆，东莱郡曲城县（今山东省招远市）人。三国时期魏国将领，追封北海太守王豹的儿子。王基文武兼备，才德过人。东汉末年，起家东莱郡吏。魏文帝时，举孝廉出身，授郎中、青州（王凌）别驾，迁秘书郎。得到尚书仆射司马懿推荐，迁中书侍郎。谏止大兴土木，迁安平太守，坐罪免职。大将军曹爽执政时，授从事中郎，出任安丰太守、河南尹，颇有政绩。司马师执政时，授尚书、荆州刺史，跟随征南将军王昶大败孙吴，赐爵关内侯。参与平定淮南三叛（毌丘俭、文钦、诸葛诞），出谋划策，颇有功勋。善于军事，先后都督豫州、扬州 、荆州军事，受封东武县侯。魏元帝景元二年（261年），王基去世，时年七十二，获赠司空，谥号为景。,76,64,140,刀剑乱1回天术9突剑四方16乱飞矢23八卦奇阵32,鼓舞士气(初)1诈败10增加经验(初)20乱阵2920乱阵29,短锥枪,锥 ,锥,弓 ,弓,,,,,天水登,,3
34,王累,王累（？——211年），广汉人，刘璋的部下，益州从事，曾倒悬于城门劝谏刘璋不要迎接刘备入蜀，然而不被听从[1] 。于是其自断绳索，摔死。,48,83,131,伏兵组阵1火雷7火箭烈15木轮强袭19虎咆阳炎26火箭天袭34,扰乱敌将(初)1强化士兵(初)8扰乱敌将(中)14太公阵21保留气力(中)14太公阵21保留气力(中)26混乱敌军(中)34,直剑,玄 ,玄,枪 飞 ,枪,,,梓潼野,江州登,,,6
35,王浑,王浑（223年～297年），字玄冲，太原郡晋阳县（今山西省太原市）人。魏晋时期名臣，曹魏司空王昶的儿子。王浑早年为大将军曹爽的掾吏，高平陵政变后，循例免官，出任怀县县令、散骑侍郎等职，袭封京陵县侯。西晋王朝建立后，加号扬烈将军，历任征虏将军、东中郎将、豫州刺史等职，积极筹划伐吴方略。咸宁五年（279年），配合镇南将军杜预灭亡吴国，迁征东大将军、左仆射、司徒公，晋爵京陵县公。晋惠帝司马衷即位，加任侍中衔。楚王司马玮发动政变，有意寻求支持，遭到严词拒绝。楚王司马玮死后，复任司徒、录尚书事。元康七年（297年），王浑去世，享年七十五岁，谥号为元。《唐会要》尊为“魏晋八君子”之一。,66,58,124,八面火1回天术12神剑24,减缓集气(初)1增加体力(初)13降敌士气(中)2626,铜殳,锥 ,锥,刀 弩 ,刀,,,,,陈留野,,4
36,王粲,王粲（177年—217年2月17日[1] ），字仲宣。山阳郡高平县（今山东省微山县两城镇）人。东汉末年文学家、官员，“建安七子”之一，太尉王龚曾孙、司空王畅之孙。王粲自少即有才名，为学者蔡邕所赏识。司徒想征辟他为黄门侍郎，王粲因为长安局势混乱，没有赴任，选择南下依附荆州牧刘表，但未受到刘表重用。[2] 建安十三年（208年），丞相曹操南征荆州，刘表之子刘琮举州投降，王粲也归于曹操，深得曹氏父子信赖，被赐爵关内侯。建安十八年（213年），魏王国建立，王粲任侍中。建安二十二年（216年），随曹操南征孙权，于北还途中病逝，终年四十一岁。王粲善属文，其诗赋为建安七子之冠，又与曹植并称“曹王”。著《英雄记》，《三国志》记王粲著诗、赋、论、议近60篇[3] ，《隋书·经籍志》著录有文集十一卷。明人张溥辑有《王侍中集》。概述内图片来源：叶雄《三国演义人物谱》,41,86,127,命疗术1伏焰7火箭烈14虎咆阳炎21地泉鲸浪27火雷星雨34,鼓舞士气(初)1混乱敌军(初)6增加经验(初)12偷袭敌军19降敌士气(高)12偷袭敌军19降敌士气(高)25增加体力(中)31快速集气(高)37,直剑,鱼 ,鱼,弓 飞 ,飞,,,平原野,平原登,,,3
37,王颀,王颀（ qi），字孔硕[1] ，青州东莱（今山东莱州市）人。三国时期魏国将领。历任裨将军、玄菟太守，跟随毌丘俭攻打高句丽，迁带方太守，转天水太守，跟随邓艾灭亡蜀国。入晋后，任汝南太守。,64,47,111,落石1旋灯火13冲车24,离间计(初)1,短锥枪,玄 ,玄,铁 弩 ,铁,,,,,天水野,,3
